GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
lvl0_C002,State and Local; Total contributions
lvl1_C002,State; Total contributions
lvl2_C002,Local; Total contributions
lvl0_C003,State and Local; Total contributions - Employee contributions
lvl1_C003,State; Total contributions - Employee contributions
lvl2_C003,Local; Total contributions - Employee contributions
lvl0_C004,State and Local; Total contributions - Government contributions
lvl1_C004,State; Total contributions - Government contributions
lvl2_C004,Local; Total contributions - Government contributions
lvl0_C005,State and Local; Total contributions - Government contributions - State government contributions
lvl1_C005,State; Total contributions - Government contributions - State government contributions
lvl2_C005,Local; Total contributions - Government contributions - State government contributions
lvl0_C006,State and Local; Total contributions - Government contributions - Local government contributions
lvl1_C006,State; Total contributions - Government contributions - Local government contributions
lvl2_C006,Local; Total contributions - Government contributions - Local government contributions
lvl0_C008,State and Local; Earnings on investments (3)
lvl1_C008,State; Earnings on investments (3)
lvl2_C008,Local; Earnings on investments (3)
lvl0_C010,State and Local; Total payments
lvl1_C010,State; Total payments
lvl2_C010,Local; Total payments
lvl0_C011,State and Local; Total payments - Benefits
lvl1_C011,State; Total payments - Benefits
lvl2_C011,Local; Total payments - Benefits
lvl0_C012,State and Local; Total payments - Withdrawals
lvl1_C012,State; Total payments - Withdrawals
lvl2_C012,Local; Total payments - Withdrawals
lvl0_C013,State and Local; Total payments - Other payments
lvl1_C013,State; Total payments - Other payments
lvl2_C013,Local; Total payments - Other payments
lvl0_C015,State and Local; Total cash and investment holdings
lvl1_C015,State; Total cash and investment holdings
lvl2_C015,Local; Total cash and investment holdings
lvl0_C016,State and Local; Total cash and investment holdings - Total cash and short-term investments
lvl1_C016,State; Total cash and investment holdings - Total cash and short-term investments
lvl2_C016,Local; Total cash and investment holdings - Total cash and short-term investments
lvl0_C017,State and Local; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits
lvl1_C017,State; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits
lvl2_C017,Local; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits
lvl0_C018,"State and Local; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments"
lvl1_C018,"State; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments"
