GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
lvl0a_C002,State and Local - Amount; Total contributions
lvl0b_C002,State and Local - CV; Total contributions
lvl1_C002,State; Total contributions
lvl2b_C002,Local - Amount; Total contributions
lvl2a_C002,Local - CV; Total contributions
lvl0a_C003,State and Local - Amount; Total contributions - Employee contributions
lvl0b_C003,State and Local - CV; Total contributions - Employee contributions
lvl1_C003,State; Total contributions - Employee contributions
lvl2b_C003,Local - Amount; Total contributions - Employee contributions
lvl2a_C003,Local - CV; Total contributions - Employee contributions
lvl0a_C004,State and Local - Amount; Total contributions - Government contributions
lvl0b_C004,State and Local - CV; Total contributions - Government contributions
lvl1_C004,State; Total contributions - Government contributions
lvl2b_C004,Local - Amount; Total contributions - Government contributions
lvl2a_C004,Local - CV; Total contributions - Government contributions
lvl0a_C005,State and Local - Amount; Total contributions - Government contributions - State government contributions
lvl0b_C005,State and Local - CV; Total contributions - Government contributions - State government contributions
lvl1_C005,State; Total contributions - Government contributions - State government contributions
lvl2b_C005,Local - Amount; Total contributions - Government contributions - State government contributions
lvl2a_C005,Local - CV; Total contributions - Government contributions - State government contributions
lvl0a_C006,State and Local - Amount; Total contributions - Government contributions - Local government contributions
lvl0b_C006,State and Local - CV; Total contributions - Government contributions - Local government contributions
lvl1_C006,State; Total contributions - Government contributions - Local government contributions
lvl2b_C006,Local - Amount; Total contributions - Government contributions - Local government contributions
lvl2a_C006,Local - CV; Total contributions - Government contributions - Local government contributions
lvl0a_C008,State and Local - Amount; Earnings on investments (3)
lvl0b_C008,State and Local - CV; Earnings on investments (3)
lvl1_C008,State; Earnings on investments (3)
lvl2b_C008,Local - Amount; Earnings on investments (3)
lvl2a_C008,Local - CV; Earnings on investments (3)
lvl0a_C010,State and Local - Amount; Total payments
lvl0b_C010,State and Local - CV; Total payments
lvl1_C010,State; Total payments
lvl2b_C010,Local - Amount; Total payments
lvl2a_C010,Local - CV; Total payments
lvl0a_C011,State and Local - Amount; Total payments - Benefits
lvl0b_C011,State and Local - CV; Total payments - Benefits
lvl1_C011,State; Total payments - Benefits
lvl2b_C011,Local - Amount; Total payments - Benefits
lvl2a_C011,Local - CV; Total payments - Benefits
lvl0a_C012,State and Local - Amount; Total payments - Withdrawals
lvl0b_C012,State and Local - CV; Total payments - Withdrawals
lvl1_C012,State; Total payments - Withdrawals
lvl2b_C012,Local - Amount; Total payments - Withdrawals
lvl2a_C012,Local - CV; Total payments - Withdrawals
lvl0a_C013,State and Local - Amount; Total payments - Other payments
lvl0b_C013,State and Local - CV; Total payments - Other payments
lvl1_C013,State; Total payments - Other payments
lvl2b_C013,Local - Amount; Total payments - Other payments
lvl2a_C013,Local - CV; Total payments - Other payments
lvl0a_C015,State and Local - Amount; Total cash and investment holdings
lvl0b_C015,State and Local - CV; Total cash and investment holdings
lvl1_C015,State; Total cash and investment holdings
lvl2b_C015,Local - Amount; Total cash and investment holdings
lvl2a_C015,Local - CV; Total cash and investment holdings
lvl0a_C016,State and Local - Amount; Total cash and investment holdings - Total cash and short-term investments
