01000000003401X01       56669020212
01000000003401X02       92461020212
01000000003401Z99       64421020212
01000000003401V87           0020212
01000000003401X06       64421020212
01000000003401X05       59466020212
01000000003401Z98           0020212
01000000003401Z72       47926020212
01000000003401Z73        5741020212
01000000003401X08     -6496030202AC
01000000003401Z97           0020212
01000000003401Z96           0020212
01000000003401Z95           0020212
01000000003401X11      389856020212
01000000003401X12       33353020212
01000000003401Z93       12575020212
01000000003401Z92           0020212
01000000003401Z91      953188020212
01000000003401Z90           0020212
01000000003401Z88        5379020212
01000000003401Z87           0020212
01000000003401Z68      197927020212
01000000003401X21      203306020212
01000000003401Z89       166980202AD
01000000003401X33      109405020212
01000000003401X30      1261030202AC
01000000003401X42           0020212
01000000003401Z84           0020212
01000000003401X35           0020212
01000000003401Z83           0020212
01000000003401X44      5040380202AC
01000000003401X46      432015020212
01000000003401X47           0020212
01000000003401Z82      432015020212
01000000003401Z81     6327564020212
01000000003401Z78     2472136020212
01000000003401Z77     25899660202AC
01000000003401Z76       79521020212
01000000003401Z75           0020212
01000000003401Z01       79521020212
01000000003401Z02        9624020212
01000000003401Z03       22277020212
01000000003401Z04        2675020212
01000000003401Z05        2975020212
01000000003401Z06         231020212
01000000003401Z07           1020212
01000000003401Z08    29241000020212
01000000003401Z09     2254000020212
01000000003401Z10     1704000020212
01000000003401Z11      673000020212
01000000003401Z12      119000020212
01000000003401Z74       78796020212
01000000003401V01           4020212
01000000003401V02           7020212
01000000003401V03           1020212
01000000003401V04           1020212
01000000003401V05           2020212
01000000003401V07          10020212
01000000003401Z71      249918020212
01000000003401Z62      2854700202AC
01000000003401Z63     23044960202AC
01000000003401Z70      5040380202AC
01000000003402X01      175342020212
01000000003402X02       58447020212
01000000003402Z99      100955020212
01000000003402V87      164715020212
01000000003402X06      265670020212
01000000003402X05           0020212
01000000003402Z98           0020212
01000000003402Z72      104208020212
01000000003402Z73       16473020212
01000000003402X08    -12269180202AC
01000000003402Z97           0020212
01000000003402Z96           0020212
01000000003402Z95           0020212
01000000003402X11      858383020212
01000000003402X12       35510020212
01000000003402Z93       25074020212
01000000003402Z92           0020212
01000000003402Z91     1915592020212
01000000003402Z90           0020212
01000000003402Z88       15393020212
01000000003402Z87           0020212
01000000003402Z68      987870020212
01000000003402X21     1003263020212
01000000003402Z89       333970202AD
01000000003402X33      285763020212
01000000003402X30      3191600202AC
01000000003402X42           0020212
01000000003402Z84           0020212
01000000003402X35           0020212
01000000003402Z83           0020212
01000000003402X44     11088120202AC
01000000003402X46      900686020212
01000000003402X47           0020212
01000000003402Z82      900686020212
01000000003402Z81    139479200202AC
01000000003402Z78     4839313020212
01000000003402Z77     57766860202AC
01000000003402Z76           0020212
01000000003402Z75      124880020212
01000000003402Z01      124880020212
01000000003402Z02       21045020212
01000000003402Z03       46167020212
01000000003402Z04        3154020212
01000000003402Z05        2582020212
01000000003402Z06         569020212
01000000003402Z07           7020212
01000000003402Z08    69274000020212
01000000003402Z09     2551000020212
01000000003402Z10     2089000020212
01000000003402Z11     2052000020212
01000000003402Z12      442000020212
01000000003402Z74      124880020212
01000000003402V01           4020212
01000000003402V02           4020212
01000000003402V03           1020212
01000000003402V04           1020212
01000000003402V05           2020212
01000000003402V07          10020212
01000000003402Z71      567993020212
01000000003402Z62      7595990202AC
01000000003402Z63     50170870202AC
01000000003402Z70     11088120202AC
01000000003403X01           0020212
01000000003403X02        2271020212
01000000003403Z99        8222020212
01000000003403V87           0020212
01000000003403X06        8222020212
01000000003403X05           0020212
01000000003403Z98           0020212
01000000003403Z72        1563020212
01000000003403Z73          88020212
01000000003403X08      -231740202AC
01000000003403Z97           0020212
01000000003403Z96         283020212
01000000003403Z95           0020212
01000000003403X11       16770020212
01000000003403X12          29020212
01000000003403Z93         468020212
01000000003403Z92           0020212
01000000003403Z91       33322020212
01000000003403Z90           0020212
01000000003403Z88         647020212
01000000003403Z87           0020212
01000000003403Z68        8913020212
01000000003403X21        9560020212
01000000003403Z89           0020212
01000000003403X33         303020212
01000000003403X30         303020212
01000000003403X42           0020212
01000000003403Z84           0020212
01000000003403X35           0020212
01000000003403Z83           0020212
01000000003403X44           0020212
01000000003403X46        2363020212
01000000003403X47           0020212
01000000003403Z82        2363020212
01000000003403Z81      190847020212
01000000003403Z78       85963020212
01000000003403Z77       92658020212
01000000003403Z76         362020212
01000000003403Z75           0020212
01000000003403Z01         362020212
01000000003403Z02          64020212
01000000003403Z03         167020212
01000000003403Z04           9020212
01000000003403Z05          93020212
01000000003403Z06           0020212
01000000003403Z07           0020212
01000000003403Z08     1137000020212
01000000003403Z09       28000020212
01000000003403Z10      229000020212
01000000003403Z11           0020212
01000000003403Z12           0020212
01000000003403Z74         362020212
01000000003403V01           4020212
01000000003403V02           7020212
01000000003403V03           1020212
01000000003403V04           1020212
01000000003403V05           2020212
01000000003403V07           5020212
01000000003403Z71        8214020212
01000000003403Z62        9640020212
01000000003403Z63       83018020212
01000000003403Z70           0020212
01000000003701X01         509020212
01000000003701X02           0020212
01000000003701Z99           0020212
01000000003701V87           0020212
01000000003701X06           0020212
01000000003701X05        2414020212
01000000003701Z98           0020212
01000000003701Z72          47020212
01000000003701Z73           0020212
01000000003701X08         9510202AC
01000000003701Z97           0020212
01000000003701Z96         142020212
01000000003701Z95           0020212
01000000003701X11        3688020212
01000000003701X12          84020212
01000000003701Z93         332020212
01000000003701Z92           0020212
01000000003701Z91           0020212
01000000003701Z90           0020212
01000000003701Z88           0020212
01000000003701Z87           0020212
01000000003701Z68         688020212
01000000003701X21         688020212
01000000003701Z89        6909020212
01000000003701X33         564020212
01000000003701X30        7473020212
01000000003701X42           0020212
01000000003701Z84           0020212
01000000003701X35           0020212
01000000003701Z83        4230020212
01000000003701X44        4230020212
01000000003701X46         1890202AC
01000000003701X47           0020212
01000000003701Z82         1890202AC
01000000003701Z81       178590202AC
01000000003701Z78           0020212
01000000003701Z77        5279020212
01000000003701Z76           0020212
01000000003701Z75        3501020212
01000000003701Z01        3501020212
01000000003701Z02         223020212
01000000003701Z03        1784020212
01000000003701Z04           3020212
01000000003701Z05           0020212
01000000003701Z06           8020212
01000000003701Z07           6020212
01000000003701Z08      297697020212
01000000003701Z09         540020212
01000000003701Z10           0020212
01000000003701Z11        4750020212
01000000003701Z12       15000020212
01000000003701Z74           0020212
01000000003701V01           4020212
01000000003701V02           6020212
01000000003701V03           3020212
01000000003701V04           1020212
01000000003701V05           2020212
01000000003701V07          15020212
01000000003701Z71         762020212
01000000003701Z62        5279020212
01000000003701Z63           0020212
01000000003701Z70           0020212
01103703710000X01        7537020211
01103703710000X04        7544020211
01103703710000X05           0020211
01103703710000Z72        2929020211
01103703710000Z73           0020211
01103703710000X08      -162120202AC
01103703710000Z97           0020211
01103703710000Z96       29064020211
01103703710000Z95           0020211
01103703710000X11       15458020211
01103703710000X12        1426020211
01103703710000Z93        1752020211
01103703710000Z92           0020211
01103703710000Z91       71369020211
01103703710000Z90           0020211
01103703710000Z88           0020211
01103703710000Z87           0020211
01103703710000Z68       78454020211
01103703710000X21       78454020211
01103703710000Z89      138114020211
01103703710000X33       10077020211
01103703710000X30      148191020211
01103703710000X42           0020211
01103703710000Z84           0020211
01103703710000X35           0020211
01103703710000Z83           0020211
01103703710000X44           0020211
01103703710000X46           0020211
01103703710000X47           0020211
01103703710000Z82           0020211
01103703710000Z81      670546020211
01103703710000Z78      443901020211
01103703710000Z77           0020211
01103703710000Z01        3500020211
01103703710000Z02           0020211
01103703710000Z03         548020211
01103703710000Z04          32020211
01103703710000Z05          40020211
01103703710000Z06          20020211
01103703710000Z07           0020211
01103703710000Z08      852748020211
01103703710000Z09       42240020211
01103703710000Z10       32827020211
01103703710000Z11      128409020211
01103703710000Z12           0020211
01103703710000Z74           0020211
01103703710000V01           4020211
01103703710000V02           7020211
01103703710000V03           1020211
01103703710000V04           1020211
01103703710000V05           2020211
01103703710000V07          10020211
01103703710000Z71       23164020211
01103703710000Z62           0020211
01103703710000Z63           0020211
