01000000003401X01       60710030312
01000000003401X02       99053030312
01000000003401Z99       80193030312
01000000003401V87           0030312
01000000003401X06       80193030312
01000000003401X05       74025030312
01000000003401Z98           0030312
01000000003401Z72       43743030312
01000000003401Z73           0030312
01000000003401X08      9402370303AC
01000000003401Z97           0030312
01000000003401Z96      668539030312
01000000003401Z95           00303AE
01000000003401X11      423027030312
01000000003401X12       25876030312
01000000003401Z93       10898030312
01000000003401Z92           0030312
01000000003401Z91           0030312
01000000003401Z90           0030312
01000000003401Z88        2917030312
01000000003401Z87           0030312
01000000003401Z68      239446030312
01000000003401X21      242363030312
01000000003401Z89           0030312
01000000003401X33           0030312
01000000003401X30           0030312
01000000003401X42           0030312
01000000003401Z84           0030312
01000000003401X35           0030312
01000000003401Z83           0030312
01000000003401X44      653563030312
01000000003401X46        2117030312
01000000003401X47      454569030312
01000000003401Z82      456686030312
01000000003401Z81     71517060303AC
01000000003401Z78     3285094030312
01000000003401Z77     25140000303AC
01000000003401Z76       34051030312
01000000003401Z75       47494030312
01000000003401Z01       815450303AD
01000000003401Z02        8898030312
01000000003401Z03       223340303AC
01000000003401Z04        26870303AC
01000000003401Z05        29950303AC
01000000003401Z06           0030312
01000000003401Z07           0030312
01000000003401Z08    31042667030312
01000000003401Z09     2390250030312
01000000003401Z10     1819333030312
01000000003401Z11     1541833030312
01000000003401Z12         546030312
01000000003401Z74           00303NR
01000000003401V01           00303NR
01000000003401V02           00303NR
01000000003401V03           00303NR
01000000003401V04           00303NR
01000000003401V05           00303NR
01000000003401V07           00303NR
01000000003401Z71      227955030312
01000000003401Z62      2765400303AD
01000000003401Z63     22374600303AD
01000000003401Z70      653563030312
01000000003402X01      187497030312
01000000003402X02       62499030312
01000000003402Z99       89599030312
01000000003402V87      146187030312
01000000003402X06      235786030312
01000000003402X05           0030312
01000000003402Z98           0030312
01000000003402Z72       91860030312
01000000003402Z73           0030312
01000000003402X08      592645030312
01000000003402Z97           0030312
01000000003402Z96           0030312
01000000003402Z95           00303AE
01000000003402X11      423027030312
01000000003402X12       25876030312
01000000003402Z93       22694030312
01000000003402Z92           0030312
01000000003402Z91           0030312
01000000003402Z90           0030312
01000000003402Z88           00303AC
01000000003402Z87           0030312
01000000003402Z68      833052030312
01000000003402X21      8330520303AC
01000000003402Z89           0030312
01000000003402X33           0030312
01000000003402X30           0030312
01000000003402X42           0030312
01000000003402Z84           0030312
01000000003402X35           0030312
01000000003402Z83           00303AC
01000000003402X44     14291020303AC
01000000003402X46      9401220303AC
01000000003402X47           00303AC
01000000003402Z82      9401220303AC
01000000003402Z81    154749180303AC
01000000003402Z78     6762794030312
01000000003402Z77     5509848030312
01000000003402Z76       492550303AC
01000000003402Z75       803620303AD
01000000003402Z01      1296170303AD
01000000003402Z02       16250030312
01000000003402Z03       50018030312
01000000003402Z04        3432030312
01000000003402Z05        2813030312
01000000003402Z06           0030312
01000000003402Z07           0030312
01000000003402Z08    72749333030312
01000000003402Z09     2722917030312
01000000003402Z10     2251667030312
01000000003402Z11     1837417030312
01000000003402Z12      836250030312
01000000003402Z74           00303NR
01000000003402V01           00303NR
01000000003402V02           00303NR
01000000003402V03           00303NR
01000000003402V04           00303NR
01000000003402V05           00303NR
01000000003402V07           00303NR
01000000003402Z71      500785030312
01000000003402Z62      8447560303AD
01000000003402Z63     46650920303AD
01000000003402Z70     1429102030312
01000000003403X01           0030312
01000000003403X02        2342030312
01000000003403Z99        8637030312
01000000003403V87           0030312
01000000003403X06        8637030312
01000000003403X05           0030312
01000000003403Z98           0030312
01000000003403Z72        1275030312
01000000003403Z73           0030312
01000000003403X08       208740303AC
01000000003403Z97           0030312
01000000003403Z96       12905030312
01000000003403Z95           00303AE
01000000003403X11       17964030312
01000000003403X12          83030312
01000000003403Z93         402030312
01000000003403Z92           0030312
01000000003403Z91           0030312
01000000003403Z90           0030312
01000000003403Z88         647030312
01000000003403Z87           0030312
01000000003403Z68       10483030312
01000000003403X21       11130030312
01000000003403Z89           0030312
01000000003403X33           0030312
01000000003403X30           0030312
01000000003403X42           0030312
01000000003403Z84           0030312
01000000003403X35           0030312
01000000003403Z83           0030312
01000000003403X44           0030312
01000000003403X46           0030312
01000000003403X47         227030312
01000000003403Z82         227030312
01000000003403Z81      202655030312
01000000003403Z78      107209030312
01000000003403Z77       84089030312
01000000003403Z76         331030312
01000000003403Z75           0030312
01000000003403Z01         3310303AD
01000000003403Z02         108030312
01000000003403Z03         167030312
01000000003403Z04           9030312
01000000003403Z05          93030312
01000000003403Z06           0030312
01000000003403Z07           0030312
01000000003403Z08     1235250030312
01000000003403Z09       28333030312
01000000003403Z10      233417030312
01000000003403Z11        6917030312
01000000003403Z12           0030312
01000000003403Z74           00303NR
01000000003403V01           00303NR
01000000003403V02           00303NR
01000000003403V03           00303NR
01000000003403V04           00303NR
01000000003403V05           00303NR
01000000003403V07           00303NR
01000000003403Z71        6694030312
01000000003403Z62       840890303AD
01000000003403Z63           0030312
01000000003403Z70           0030312
01000000003701X01         787030312
01000000003701X02           0030312
01000000003701Z99           0030312
01000000003701V87           0030312
01000000003701X06           0030312
01000000003701X05        2438030312
01000000003701Z98           0030312
01000000003701Z72          51030312
01000000003701Z73         1710303AD
01000000003701X08        10840303AC
01000000003701Z97           0030312
01000000003701Z96         171030312
01000000003701Z95           0030312
01000000003701X11        3798030312
01000000003701X12          70030312
01000000003701Z93         340030312
01000000003701Z92           0030312
01000000003701Z91           0030312
01000000003701Z90           0030312
01000000003701Z88           0030312
01000000003701Z87           0030312
01000000003701Z68         807030312
01000000003701X21         807030312
01000000003701Z89        27950303AC
01000000003701X33        1745030312
01000000003701X30        4540030312
01000000003701X42           0030312
01000000003701Z84           0030312
01000000003701X35           0030312
01000000003701Z83        5249030312
01000000003701X44        5249030312
01000000003701X46         1890303AC
01000000003701X47          40030312
01000000003701Z82         229030312
01000000003701Z81       18797030312
01000000003701Z78         123030312
01000000003701Z77        7849030312
01000000003701Z76           0030312
01000000003701Z75        3402030312
01000000003701Z01        3402030312
01000000003701Z02         104030312
01000000003701Z03        1829030312
01000000003701Z04           7030312
01000000003701Z05           0030312
01000000003701Z06           9030312
01000000003701Z07           7030312
01000000003701Z08      303192030312
01000000003701Z09        1080030312
01000000003701Z10           0030312
01000000003701Z11        4225030312
01000000003701Z12       17500030312
01000000003701Z74           0030312
01000000003701V01           00303NR
01000000003701V02           00303NR
01000000003701V03           00303NR
01000000003701V04           00303NR
01000000003701V05           00303NR
01000000003701V07           00303NR
01000000003701Z71         691030312
01000000003701Z62        3100030312
01000000003701Z63        4749030312
01000000003701Z70           0030312
