
01000000003401X01       600890606AD
01000000003401X02       980390606AC
01000000003401Z99      1018810606AD
01000000003401V87           0060612
01000000003401X06      1018810606AC
01000000003401X05       940460606AD
01000000003401Z98           0060612
01000000003401Z72      115650060612
01000000003401Z73        2208060612
01000000003401X08      8436650606AC
01000000003401Z97           00606NR
01000000003401Z96      545826060612
01000000003401Z95           0060612
01000000003401X11      487348060612
01000000003401X12       30960060612
01000000003401Z93        9844060612
01000000003401Z92           00606NR
01000000003401Z91           00606NR
01000000003401Z90           0060612
01000000003401Z88        3696060612
01000000003401Z87           0060612
01000000003401Z68      561290060612
01000000003401X21      564986060612
01000000003401Z89           0060612
01000000003401X33       22586060612
01000000003401X30       22586060612
01000000003401X42           0060612
01000000003401Z84           0060612
01000000003401X35           0060612
01000000003401Z83           0060612
01000000003401X44     1053851060612
01000000003401X46      553441060612
01000000003401X47           0060612
01000000003401Z82      553441060612
01000000003401Z81     8374861060612
01000000003401Z78     3861335060612
01000000003401Z77     2318662060612
01000000003401Z76       333350606AD
01000000003401Z75       464710606AD
01000000003401Z01       79806060612
01000000003401Z02       12054060612
01000000003401Z03       25285060612
01000000003401Z04        3143060612
01000000003401Z05        3086060612
01000000003401Z06         427060612
01000000003401Z07           7060612
01000000003401Z08    35992000060612
01000000003401Z09     2796000060612
01000000003401Z10     2002000060612
01000000003401Z11     1655000060612
01000000003401Z12      389000060612
01000000003401Z74           00606NR
01000000003401V01           00606NR
01000000003401V02           00606NR
01000000003401V03           00606NR
01000000003401V04           00606NR
01000000003401V05           00606NR
01000000003401V07           00606NR
01000000003401Z71      179981060612
01000000003401Z62      512871060612
01000000003401Z63     1805791060612
01000000003401Z70     1053851060612
01000000003401Z13      421778060612
01000000003401Z14       42398060612
01000000003401Z15       23172060612
01000000003401Z16           0060612
01000000003402X01      1951120606AC
01000000003402X02       650370606AD
01000000003402Z99      1321890606AD
01000000003402V87      2156740606AD
01000000003402X06      3478630606AD
01000000003402X05           00606AC
01000000003402Z98           0060612
01000000003402Z72      248054060612
01000000003402Z73        5220060612
01000000003402X08     18506760606AC
01000000003402Z97           00606NR
01000000003402Z96     1221059060612
01000000003402Z95           0060612
01000000003402X11     1092723060612
01000000003402X12       36350060612
01000000003402Z93       15118060612
01000000003402Z92           00606NR
01000000003402Z91           00606NR
01000000003402Z90           0060612
01000000003402Z88       12508060612
01000000003402Z87           0060612
01000000003402Z68      941540060612
01000000003402X21      954048060612
01000000003402Z89           0060612
01000000003402X33       58993060612
01000000003402X30       58993060612
01000000003402X42           0060612
01000000003402Z84           0060612
01000000003402X35           0060612
01000000003402Z83           0060612
01000000003402X44     2496648060612
01000000003402X46     1147347060612
01000000003402X47           0060612
01000000003402Z82     1147347060612
01000000003402Z81    17983868060612
01000000003402Z78     8329184060612
01000000003402Z77     4997648060612
01000000003402Z76       484900606AD
01000000003402Z75       791130606AD
01000000003402Z01      127603060612
01000000003402Z02       21696060612
01000000003402Z03       52911060612
01000000003402Z04        3802060612
01000000003402Z05        3013060612
01000000003402Z06         644060612
01000000003402Z07          16060612
01000000003402Z08    83851000060612
01000000003402Z09     3151000060612
01000000003402Z10     2708000060612
01000000003402Z11     2622000060612
01000000003402Z12      919000060612
01000000003402Z74           00606NR
01000000003402V01           00606NR
01000000003402V02           00606NR
01000000003402V03           00606NR
01000000003402V04           00606NR
01000000003402V05           00606NR
01000000003402V07           00606NR
01000000003402Z71      376343060612
01000000003402Z62     1145165060612
01000000003402Z63     3852483060612
01000000003402Z70     2496648060612
01000000003402Z13     1024372060612
01000000003402Z14       36869060612
01000000003402Z15       31482060612
01000000003402Z16           0060612
01000000003403X01           0060612
01000000003403X02        2350060612
01000000003403Z99        8943060612
01000000003403V87           0060612
01000000003403X06        8943060612
01000000003403X05           0060612
01000000003403Z98           0060612
01000000003403Z72        2794060612
01000000003403Z73          52060612
01000000003403X08       193490606AC
