ID                                                      NAME            
01000000003401  STATE RETIREMENT SYSTEM AND EMPLOYEE INSURANCE BOARD    
01000000003402  STATE RETIREMENT SYS & EMPLOYEE INSURANCE BD    TEACHERS RETIREMENT SYS OF ALA
01000000003403  STATE RETIREMENT SYS & EMPLOYEE INSURANCE BD    ALABAMA JUDGES RETIREMENT FUND
01000000003701  PEACE OFFICERS ANNUITY AND BENEFIT FUND 
01103703710000  JEFFERSON COUNTY GENERAL RETIREMENT SYSTEM      
01105105110000  MONTGOMERY COUNTY RETIREMENT SYSTEM FUND        
01200800110000  ANNISTON POLICE AND FIREMEN RETIREMENT FUND     
01203500410000  EMPLOYEES PENSION RETIREMENT SYSTEM     
01203700310000  BIRMINGHAM RETIREMENT & RELIEF SYSTEM   
01203700310100  BIRMINGHAM FIREMENS AND POLICE SUPPLEMENT PENSION SYSTEM        
01205100110000  MONTGOMERY EMPLOYEES RETIREMENT SYSTEM  
01206300210000  TUSCALOOSA FIREMAN AND POLICEMENS PENSION AND RELIEF PLAN       
02000000001605  DEPARTMENT OF ADMINISTRATION    TEACHERS' RETIREMENT SYSTEM
02000000001608  DEPARTMENT OF ADMINISTRATION    ALASKA PUBLIC EMPLOYEES RETIREMENT SYSTEM
02000000001609  DEPARTMENT OF ADMINISTRATION    NATIONAL GUARD & NAVAL MIL RETIREMENT SYS
02000000002000  STATE OF ALASKA JUDICIAL RETIREMENT SYSTEM      
02200200110000  ANCHORAGE POLICE AND FIREMEN RETIREMENT PLAN    
03000000007801  PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM       
03000000009001  ARIZONA STATE RETIREMENT SYSTEM 
03000000090001  ARIZONA ELECTED OFFICIALS RETIREMENT SYSTEM     
03000000090101  AZ CORRECTIONS OFFICER RETIREMENT PLAN  
03200701010000  CITY OF PHOENIX EMPLOYEES RETIREMENT PLAN       
03201000210000  TUCSON SUPPLEMENTAL RETIREMENT SYSTEM   
03400702410000  SALT RIVER PROJ AG IMPROVEMENT & POWER DISTRICT PENSION PLAN    
04000000003401  ARKANSAS PUBLIC EMPLOYEES RETIREMENT SYSTEM     
04000000004301  ARKANSAS TEACHER RETIREMENT SYS.        
04000000090001  ARKANSAS HIGHWAY EMPLOYEES RETIREMENT SYSTEM    
04000000090101  ARKANSAS STATE POLICE PENSION RETIREMENT PLAN   
04000000090201  AR JUDICIAL RETIREMENT PLAN     
04000000090300  ARKANSAS LOCAL POLICE AND FIRE RETIREMENT SYSTEM        
04200100510000  STUTTGART FIRE AND POLICE RETIREMENT FUND       
04200401010000  RODGERS FIREMENS PENSION FUND   
04200800410000  EUREKA SPRINGS FIREMENS PENSION FUND    
04201600710100  JONESBORO POLICE PENSION AND RELIEF FUND        
04201800810000  WEST MEMPHIS FIREMENS PENSION AND RELIEF FUND   
