01000000003401X02       76136101012
01000000003401X06      147593101012
01000000003401Z99      147593101012
01000000003401V87           0101012
01000000003401Z98           0101012
01000000003401Z76       33958101012
01000000003401Z75       53689101012
01000000003401V01           01010NR
01000000003401V02           01010NR
01000000003401V03           01010NR
01000000003401V04           01010NR
01000000003401V05           01010NR
01000000003401V07           01010NR
01000000003401X01      118841101012
01000000003401X05      230381101012
01000000003401X08      701500101012
01000000003401X11      734654101012
01000000003401X12       24874101012
01000000003401X21      322853101012
01000000003401X30      641504101012
01000000003401X33      321848101012
01000000003401X35           0101012
01000000003401X42           0101012
01000000003401X44     1101393101012
01000000003401X46      923235101012
01000000003401X47           0101012
01000000003401Z01       87647101012
01000000003401Z02       11791101012
01000000003401Z03       29215101012
01000000003401Z04        3632101012
01000000003401Z05        3566101012
01000000003401Z06           0101012
01000000003401Z07           0101012
01000000003401Z08    49119167101012
01000000003401Z09     6106500101012
01000000003401Z10     5995500101012
01000000003401Z11           0101012
01000000003401Z12           0101012
01000000003401Z13      589430101012
01000000003401Z14       73278101012
01000000003401Z15       71946101012
01000000003401Z16           0101012
01000000003401Z62           0101012
01000000003401Z63     1424254101012
01000000003401Z68      308581101012
01000000003401Z70     1101393101012
01000000003401Z71      163582101012
01000000003401Z72      105112101012
01000000003401Z73          14101012
01000000003401Z74           01010NR
01000000003401Z77     1424254101012
01000000003401Z78     3573333101012
01000000003401Z81     7986572101012
01000000003401Z82      923235101012
01000000003401Z83           0101012
01000000003401Z84           0101012
01000000003401Z87           0101012
01000000003401Z88       14272101012
01000000003401Z89      319656101012
01000000003401Z90           0101012
01000000003401Z91           0101012
01000000003401Z92           01010NR
01000000003401Z93       18677101012
01000000003401Z95           0101012
01000000003401Z96      432792101012
01000000003401Z97           01010NR
01000000003402X02      121515101012
01000000003402X06      758775101012
01000000003402Z99      277398101012
01000000003402V87      481377101012
01000000003402Z98           0101012
01000000003402Z76       52417101012
01000000003402Z75       85518101012
01000000003402V01           01010NR
01000000003402V02           01010NR
01000000003402V03           01010NR
01000000003402V04           01010NR
01000000003402V05           01010NR
01000000003402V07           01010NR
01000000003402X01      198255101012
01000000003402X05           0101012
01000000003402X08     1459092101012
01000000003402X11     1580822101012
01000000003402X12       30596101012
01000000003402X21      508724101012
01000000003402X30     1395895101012
01000000003402X33      698974101012
01000000003402X35           0101012
01000000003402X42           0101012
01000000003402X44     2488588101012
01000000003402X46     1893380101012
01000000003402X47           0101012
01000000003402Z01      137935101012
01000000003402Z02       17265101012
01000000003402Z03       61377101012
01000000003402Z04        4410101012
01000000003402Z05        3495101012
01000000003402Z06        5340101012
01000000003402Z07           0101012
01000000003402Z08   122493917101012
01000000003402Z09     4048000101012
01000000003402Z10     4107250101012
01000000003402Z11     1086000101012
01000000003402Z12           0101012
01000000003402Z13     1469927101012
01000000003402Z14       48576101012
01000000003402Z15       49287101012
01000000003402Z16       13032101012
01000000003402Z62           0101012
01000000003402Z63     2923052101012
01000000003402Z68      485805101012
01000000003402Z70     2488588101012
01000000003402Z71      318985101012
01000000003402Z72      210248101012
01000000003402Z73       30790101012
01000000003402Z74           01010NR
01000000003402Z77     2923052101012
01000000003402Z78     7426861101012
01000000003402Z81    16636500101012
01000000003402Z82     1893380101012
01000000003402Z83           0101012
01000000003402Z84           0101012
01000000003402Z87           0101012
01000000003402Z88       22919101012
01000000003402Z89      696921101012
01000000003402Z90           0101012
01000000003402Z91           0101012
01000000003402Z92           01010NR
01000000003402Z93       22717101012
01000000003402Z95           0101012
01000000003402Z96      899069101012
01000000003402Z97           01010NR
01000000003403X02        2566101012
01000000003403X06       10815101012
01000000003403Z99       10815101012
01000000003403V87           0101012
01000000003403Z98           0101012
01000000003403Z76         342101012
01000000003403Z75           0101012
01000000003403V01           01010NR
01000000003403V02           01010NR
01000000003403V03           01010NR
01000000003403V04           01010NR
01000000003403V05           01010NR
01000000003403V07           01010NR
01000000003403X01           0101012
01000000003403X05           0101012
01000000003403X08       21838101012
01000000003403X11       24526101012
01000000003403X12           0101012
01000000003403X21       10035101012
01000000003403X30       32337101012
01000000003403X33       16546101012
01000000003403X35           0101012
01000000003403X42           0101012
01000000003403X44       33219101012
01000000003403X46        2686101012
01000000003403X47           0101012
01000000003403Z01         342101012
01000000003403Z02          47101012
01000000003403Z03         201101012
01000000003403Z04           9101012
01000000003403Z05         110101012
01000000003403Z06           0101012
01000000003403Z07           0101012
01000000003403Z08     1730250101012
01000000003403Z09       31250101012
01000000003403Z10      282333101012
01000000003403Z11           0101012
01000000003403Z12           0101012
01000000003403Z13       20763101012
