01000000003401X01       312399494MA
01000000003401X02       509699494AD
01000000003401X05       510609494AD
01000000003401X06       553159494CT
01000000003401X08      295457949471
01000000003401X11      154767949471
01000000003401X12       12234949471
01000000003401X21      456266949471
01000000003401X30     1757343949471
01000000003401X40     1542535949471
01000000003401X41     1184896949471
01000000003401X42      3595129494AD
01000000003401X46       82357949471
01000000003401Z01       70546949471
01000000003401Z03       19877949471
01000000003401Z04         145949471
01000000003401Z05          15949471
01000000003401Z08    12807083949471
01000000003401Z09       86043949471
01000000003401Z10        4124949471
01000000003401Z68      452625949471
01000000003401Z73      246975949471
01000000003401Z76       705469494MA
01000000003401Z79     15425359494MA
01000000003401Z81     5382909949471
01000000003401Z82       82357949471
01000000003401Z88        3641949471
01000000003401Z89     1757343949471
01000000003401Z93        3627949471
01000000003401Z96       48482949471
01000000003401Z99       553159494MA
01000000003402V87      1452209494MA
01000000003402X01      1131159494MC
01000000003402X02       377059494AD
01000000003402X06      2342259494CT
01000000003402X08      622998949471
01000000003402X11      328174949471
01000000003402X12       24186949471
01000000003402X21      844305949471
01000000003402X30      130157949471
01000000003402X40     3575251949471
01000000003402X41     2678419949471
01000000003402X42      7780839494AD
01000000003402X46      150191949471
01000000003402Z01      118885949471
01000000003402Z03       33454949471
01000000003402Z04         134949471
01000000003402Z05          34949471
01000000003402Z08    27214967949471
01000000003402Z09      103769949471
01000000003402Z10       29097949471
01000000003402Z68      839033949471
01000000003402Z73      553240949471
01000000003402Z75      1416649494MA
01000000003402Z76       297219494MA
01000000003402Z79     35752519494MA
01000000003402Z81     8156406949471
01000000003402Z82      150191949471
01000000003402Z88        5272949471
01000000003402Z89      130157949471
01000000003402Z96       69758949471
01000000003402Z99       890069494MA
01000000003403X02        13259494MA
01000000003403X06        6660949471
01000000003403X08        8378949471
01000000003403X11        7251949471
01000000003403X12          29949471
01000000003403X21       19502949471
01000000003403X40       64954949471
01000000003403X41       24539949471
01000000003403X42        31439494AD
01000000003403X46         593949471
01000000003403Z01         308949471
01000000003403Z03         199949471
01000000003403Z08      604250949471
01000000003403Z68       19280949471
01000000003403Z73        8378949471
01000000003403Z76         3089494MA
01000000003403Z79       649549494MA
01000000003403Z81      112731949471
01000000003403Z82         593949471
01000000003403Z88         222949471
01000000003403Z93         248949471
01000000003403Z99        66609494MA
01000000003701X01         3609494AD
01000000003701X05        24349494AD
01000000003701X08        1416949471
01000000003701X11        30699494AD
01000000003701X12          419494AD
01000000003701X21         752949471
01000000003701X30        4768949471
01000000003701X40        7105949471
01000000003701X41        12989494AD
01000000003701X46         1849494AD
01000000003701Z01        3219949471
01000000003701Z02         1189494AD
01000000003701Z03        13919494AD
01000000003701Z06           69494AD
01000000003701Z07           69494AD
01000000003701Z08      2403939494AD
01000000003701Z09        16509494AD
01000000003701Z11        61789494AD
01000000003701Z12       150009494AD
01000000003701Z68         6589494AD
01000000003701Z72          449494MC
01000000003701Z73         9749494MC
01000000003701Z75        32199494AD
01000000003701Z79        71059494MC
01000000003701Z81       141079494BC
01000000003701Z82         184949471
01000000003701Z88          949494AD
01000000003701Z89        47689494AD
01000000003701Z93         2989494AD
01000000003701Z96         3799494MC
01000000003701Z98          199494AD
01103703710000X01        4853949471
01103703710000X04        5175949471
01103703710000X08        9033949471
01103703710000X11        4648949471
01103703710000X12        1085949471
01103703710000X21       18393949471
01103703710000X30       34588949471
01103703710000X33        2377949471
01103703710000X40       550109494AD
01103703710000X41       87299949471
01103703710000Z01        3500949471
01103703710000Z03         548949471
01103703710000Z04          32949471
01103703710000Z05          40949471
01103703710000Z06          20949471
01103703710000Z08      398530949471
01103703710000Z09        90659494AD
01103703710000Z10       15342949471
01103703710000Z11       96378949471
01103703710000Z68       18384949471
01103703710000Z79       550109494AD
01103703710000Z81      195290949471
01103703710000Z88           9949471
01103703710000Z89       32211949471
01103703710000Z91        2401949471
01103703710000Z93         954949471
01103703710000Z96       11434949471
01105105110000X01         653949471
01105105110000X04        1352949471
01105105110000X05          61949471
01105105110000X08        1514949471
01105105110000X11        1928949471
01105105110000X12         156949471
01105105110000X21         688949471
01105105110000X30       23046949471
01105105110000X33        3166949471
01105105110000X40         5729494AD
01105105110000Z01         615949471
01105105110000Z02           7949471
01105105110000Z03         163949471
01105105110000Z05          37949471
01105105110000Z06           5949471
01105105110000Z08      1367159494BC
01105105110000Z10       239559494BC
01105105110000Z11        9683949471
01105105110000Z72        1511949471
01105105110000Z79         5729494AD
01105105110000Z81       24306949471
01105105110000Z88         688949471
01105105110000Z89       19880949471
01105105110000Z96           39494AD
01200800110000X01         362949471
01200800110000X04         259949471
01200800110000X08        1453949471
01200800110000X11        1256949471
01200800110000X12          57949471
01200800110000X21        5903949471
01200800110000X30       13532949471
01200800110000X33       13532949471
01200800110000Z01         175949471
01200800110000Z03          78949471
01200800110000Z04          16949471
01200800110000Z05          34949471
01200800110000Z08       88017949471
01200800110000Z09       22000949471
01200800110000Z10       17000949471
01200800110000Z73        1453949471
01200800110000Z81       19435949471
01200800110000Z88        5903949471
01200800110000Z93          11949471
01202800310000X01         525949471
01202800310000X04        1431949471
01202800310000X08         429949471
01202800310000X11        1937949471
01202800310000X12          35949471
01202800310000X21        1781949471
01202800310000X30        2786949471
01202800310000X40         952949471
01202800310000X44         4009494AD
01202800310000Z01         207949471
01202800310000Z03          85949471
01202800310000Z04          46949471
01202800310000Z05          55949471
01202800310000Z06           19494AD
01202800310000Z08       96308949471
01202800310000Z09       40200949471
01202800310000Z10       28878949471
01202800310000Z11       187489494AD
01202800310000Z68        1274949471
01202800310000Z73         309949471
01202800310000Z79         952949471
01202800310000Z81        5919949471
01202800310000Z83         4009494AD
01202800310000Z88         507949471
01202800310000Z89        2786949471
01202800310000Z93          49949471
01202800310000Z96         1209494AD
01203500410000X01        1383949471
01203500410000X04        1383949471
01203500410000X08         932949471
01203500410000X11        2344949471
01203500410000X12         199949471
01203500410000X21       26093949471
01203500410000X30        1500949471
01203500410000Z01         890949471
01203500410000Z03         181949471
01203500410000Z04          28949471
01203500410000Z05           3949471
