01000000003401X02      1178240808HC
01000000003401X06      1712480808HC
01000000003401Z99      1712480808HC
01000000003401V87           00808HC
01000000003401Z98           00808HC
01000000003401Z76       33795080812
01000000003401Z75       52873080812
01000000003401V01           00808NR
01000000003401V02           00808NR
01000000003401V03           00808NR
01000000003401V04           00808NR
01000000003401V05           00808NR
01000000003401V07           00808NR
01000000003401X01       719610808HC
01000000003401X05      1580910808HC
01000000003401X08    -14965800808AC
01000000003401X11      655467080812
01000000003401X12       313870808DC
01000000003401X21      1555390808HC
01000000003401X30      2448580808HC
01000000003401X33       174040808HC
01000000003401X35           00808HC
01000000003401X42           00808HC
01000000003401X44     19341900808HC
01000000003401X46      7261050808HC
01000000003401X47           00808HC
01000000003401Z01       866680808HC
01000000003401Z02       108770808HC
01000000003401Z03       29341080812
01000000003401Z04        3286080812
01000000003401Z05        3225080812
01000000003401Z06           0080812
01000000003401Z07           0080812
01000000003401Z08    48699250080812
01000000003401Z09     3354083080812
01000000003401Z10     2568917080812
01000000003401Z11           0080812
01000000003401Z12           0080812
01000000003401Z13      584391080812
01000000003401Z14       40249080812
01000000003401Z15       30827080812
01000000003401Z16           0080812
01000000003401Z62     15356940808HC
01000000003401Z63      5724400808HC
01000000003401Z68      1068020808HC
01000000003401Z70     11047970808HC
01000000003401Z71      2067370808HC
01000000003401Z72      1328410808HC
01000000003401Z73       835880808HC
01000000003401Z74           00808NR
01000000003401Z77     21081340808HC
01000000003401Z78     40423460808HC
01000000003401Z81     92111720808HC
01000000003401Z82      7261050808HC
01000000003401Z83      8293930808HC
01000000003401Z84           00808HC
01000000003401Z87       420700808HC
01000000003401Z88        66670808HC
01000000003401Z89      2274540808HC
01000000003401Z90           00808HC
01000000003401Z91     1919746080812
01000000003401Z92           00808NR
01000000003401Z93       802330808HC
01000000003401Z95           00808HC
01000000003401Z96           00808HC
01000000003401Z97           00808NR
01000000003402X02       809560808HC
01000000003402X06      7299950808HC
01000000003402Z99      2774000808HC
01000000003402V87      4525950808HC
01000000003402Z98           00808HC
01000000003402Z76       53664080812
01000000003402Z75       87553080812
01000000003402V01           00808NR
01000000003402V02           00808NR
01000000003402V03           00808NR
01000000003402V04           00808NR
01000000003402V05           00808NR
01000000003402V07           00808NR
01000000003402X01      2428660808HC
01000000003402X05           00808HC
01000000003402X08    -32686800808AC
01000000003402X11     1486871080812
01000000003402X12       373170808DC
01000000003402X21      5017700808HC
01000000003402X30      5425840808HC
01000000003402X33       433660808HC
01000000003402X35           00808HC
01000000003402X42           00808HC
01000000003402X44     42938190808HC
01000000003402X46     14941900808HC
01000000003402X47           00808HC
01000000003402Z01      1412170808HC
01000000003402Z02       167810808HC
01000000003402Z03       62112080812
01000000003402Z04        4113080812
01000000003402Z05        3275080812
01000000003402Z06           0080812
01000000003402Z07           0080812
01000000003402Z08   116255000080812
01000000003402Z09     3931917080812
01000000003402Z10     3719000080812
01000000003402Z11           0080812
01000000003402Z12           0080812
01000000003402Z13     1395060080812
01000000003402Z14       47183080812
01000000003402Z15       44628080812
01000000003402Z16           0080812
01000000003402Z62     31673730808HC
01000000003402Z63     12480910808HC
01000000003402Z68      4216300808HC
01000000003402Z70     24961750808HC
01000000003402Z71      4252590808HC
01000000003402Z72      2802960808HC
01000000003402Z73       835880808HC
01000000003402Z74           00808NR
01000000003402Z77     44154640808HC
01000000003402Z78     80960410808HC
01000000003402Z81    193438680808HC
01000000003402Z82     14941900808HC
01000000003402Z83     17976440808HC
01000000003402Z84           00808HC
01000000003402Z87       736860808HC
01000000003402Z88        64540808HC
01000000003402Z89      4992180808HC
01000000003402Z90           00808HC
01000000003402Z91     4057823080812
01000000003402Z92           00808NR
01000000003402Z93       802330808HC
01000000003402Z95           00808HC
01000000003402Z96           00808HC
01000000003402Z97           00808NR
01000000003403X02        25340808HC
01000000003403X06        98800808HC
01000000003403Z99        98800808HC
01000000003403V87           00808HC
01000000003403Z98           00808HC
01000000003403Z76         348080812
01000000003403Z75           0080812
01000000003403V01           00808NR
01000000003403V02           00808NR
01000000003403V03           00808NR
01000000003403V04           00808NR
01000000003403V05           00808NR
01000000003403V07           00808NR
01000000003403X01           00808HC
01000000003403X05           00808HC
01000000003403X08      -369390808AC
01000000003403X11       22587080812
01000000003403X12          830808DC
01000000003403X21       237830808HC
01000000003403X30       117030808HC
01000000003403X33         3620808HC
01000000003403X35           00808HC
01000000003403X42           00808HC
01000000003403X44       592560808HC
01000000003403X46        26470808HC
01000000003403X47           00808HC
01000000003403Z01         3480808HC
01000000003403Z02          440808HC
01000000003403Z03         198080812
01000000003403Z04           7080812
01000000003403Z05          99080812
01000000003403Z06           0080812
01000000003403Z07           0080812
01000000003403Z08     1567250080812
01000000003403Z09       32750080812
01000000003403Z10      282250080812
01000000003403Z11           0080812
01000000003403Z12           0080812
01000000003403Z13       18807080812
01000000003403Z14         393080812
01000000003403Z15        3387080812
01000000003403Z16           0080812
01000000003403Z62       144040808HC
01000000003403Z63       271740808HC
01000000003403Z68       189960808HC
01000000003403Z70       167610808HC
01000000003403Z71        50880808HC
01000000003403Z72        31180808HC
01000000003403Z73        17650808HC
01000000003403Z74           00808NR
01000000003403Z77       415780808HC
01000000003403Z78      1187310808HC
01000000003403Z81      2576980808HC
