01000000003401X02       813950909HC
01000000003401X06      1761630909HC
01000000003401Z99      1761630909HC
01000000003401V87           00909HC
01000000003401Z98           00909HC
01000000003401Z76       34096090912
01000000003401Z75       53906090912
01000000003401V01           00909NR
01000000003401V02           00909NR
01000000003401V03           00909NR
01000000003401V04           00909NR
01000000003401V05           00909NR
01000000003401V07           00909NR
01000000003401X01      1270510909HC
01000000003401X05      2749760909HC
01000000003401X08     -8954860909AC
01000000003401X11      695430090912
01000000003401X12       326400909DC
01000000003401X21      2710220909HC
01000000003401X30           00909HC
01000000003401X33           00909HC
01000000003401X35           00909HC
01000000003401X42           00909HC
01000000003401X44     10505990909HC
01000000003401X46      7379890909HC
01000000003401X47           00909HC
01000000003401Z01       880020909HC
01000000003401Z02       114480909HC
01000000003401Z03       28037090912
01000000003401Z04        3486090912
01000000003401Z05        3422090912
01000000003401Z06        2184090912
01000000003401Z07           0090912
01000000003401Z08    46496422090912
01000000003401Z09     5780492090912
01000000003401Z10     5675586090912
01000000003401Z11     27200000909AD
01000000003401Z12           0090912
01000000003401Z13      557957090912
01000000003401Z14       69366090912
01000000003401Z15       68107090912
01000000003401Z16           0090912
01000000003401Z62           00909HC
01000000003401Z63     21738280909HC
01000000003401Z68      2638600909HC
01000000003401Z70     10505990909HC
01000000003401Z71      1735230909HC
01000000003401Z72      1114990909HC
01000000003401Z73          150909HC
01000000003401Z74           00909NR
01000000003401Z77     21738280909HC
01000000003401Z78     33785260909HC
01000000003401Z81     76119640909HC
01000000003401Z82      7379890909HC
01000000003401Z83           00909HC
01000000003401Z84           00909HC
01000000003401Z87           00909HC
01000000003401Z88        71620909HC
01000000003401Z89           00909HC
01000000003401Z90           00909HC
01000000003401Z91     1180523090912
01000000003401Z92           00909NR
01000000003401Z93       171280909HC
01000000003401Z95           00909HC
01000000003401Z96           00909HC
01000000003401Z97           00909NR
01000000003402X02      1220200909HC
01000000003402X06      2863430909HC
01000000003402Z99      2863430909HC
01000000003402V87           00909HC
01000000003402Z98           00909HC
01000000003402Z76       53782090912
01000000003402Z75       87746090912
01000000003402V01           00909NR
01000000003402V02           00909NR
01000000003402V03           00909NR
01000000003402V04           00909NR
01000000003402V05           00909NR
01000000003402V07           00909NR
01000000003402X01      1990800909HC
01000000003402X05      4671750909HC
01000000003402X08    -14686100909AC
01000000003402X11     1512260090912
01000000003402X12       423370909DC
01000000003402X21      4775770909HC
01000000003402X30           00909HC
01000000003402X33           00909HC
01000000003402X35           00909HC
01000000003402X42           00909HC
