01000000003401X01       607100404AD
01000000003401X02       990530404AC
01000000003401Z99       801930404AC
01000000003401V87           0040412
01000000003401X06       801930404AC
01000000003401X05       740250404AD
01000000003401Z98           0040412
01000000003401Z72       58830040412
01000000003401Z73        3461040412
01000000003401X08      9436970404AC
01000000003401Z97           0040412
01000000003401Z96      668539040412
01000000003401Z95           0040412
01000000003401X11      423027040412
01000000003401X12       25876040412
01000000003401Z93       10898040412
01000000003401Z92           0040412
01000000003401Z91           0040412
01000000003401Z90           0040412
01000000003401Z88        2917040412
01000000003401Z87           0040412
01000000003401Z68      239446040412
01000000003401X21      242363040412
01000000003401Z89           0040412
01000000003401X33       58905040412
01000000003401X30       58905040412
01000000003401X42           0040412
01000000003401Z84           0040412
01000000003401X35           0040412
01000000003401Z83           0040412
01000000003401X44      635563040412
01000000003401X46      454569040412
01000000003401X47           0040412
01000000003401Z82      454569040412
01000000003401Z81     7131589040412
01000000003401Z78     3285094040412
01000000003401Z77     2455095040412
01000000003401Z76       343680404AD
01000000003401Z75       479360404AD
01000000003401Z01       82304040412
01000000003401Z02        9340040412
01000000003401Z03       23087040412
01000000003401Z04        2802040412
01000000003401Z05        3031040412
01000000003401Z06         283040412
01000000003401Z07           7040412
01000000003401Z08    31594000040412
01000000003401Z09     2440000040412
01000000003401Z10     1852000040412
01000000003401Z11      890000040412
01000000003401Z12      284000040412
01000000003401Z74       81568040412
01000000003401V01           00404NR
01000000003401V02           00404NR
01000000003401V03           00404NR
01000000003401V04           00404NR
01000000003401V05           00404NR
01000000003401V07           00404NR
01000000003401Z71      212867040412
01000000003401Z62      303082040412
01000000003401Z63     2152013040412
01000000003401Z70      635563040412
01000000003402X01      1874970404AC
01000000003402X02       624990404AD
01000000003402Z99       895990404AD
01000000003402V87      1461870404AC
01000000003402X06      235786040412
01000000003402X05           0040412
01000000003402Z98           0040412
01000000003402Z72      123613040412
01000000003402Z73       14215040412
01000000003402X08     20197480404AC
01000000003402Z97           0040412
01000000003402Z96     1412887040412
01000000003402Z95           0040412
01000000003402X11      932687040412
01000000003402X12       32084040412
01000000003402Z93       22694040412
01000000003402Z92           0040412
01000000003402Z91           0040412
01000000003402Z90           0040412
01000000003402Z88       15325040412
01000000003402Z87           0040412
01000000003402Z68      833052040412
01000000003402X21      848377040412
01000000003402Z89           0040412
01000000003402X33      148285040412
01000000003402X30      148285040412
01000000003402X42           0040412
01000000003402Z84           0040412
01000000003402X35           0040412
01000000003402Z83           0040412
01000000003402X44     1429102040412
