01000000003401X02      117824080812
01000000003401X06      171248080812
01000000003401Z99      171248080812
01000000003401V87           0080812
01000000003401Z98           0080812
01000000003401Z76       33795080812
01000000003401Z75       52873080812
01000000003401V01           00808NR
01000000003401V02           00808NR
01000000003401V03           00808NR
01000000003401V04           00808NR
01000000003401V05           00808NR
01000000003401V07           00808NR
01000000003401X01       71961080812
01000000003401X05      158091080812
01000000003401X08    -14965800808AC
01000000003401X11      655467080812
01000000003401X12       31387080812
01000000003401X21      1687130808AC
01000000003401X30      5605950808AC
01000000003401X33      3331410808AC
01000000003401X35           0080812
01000000003401X42           0080812
01000000003401X44     11047970808AC
01000000003401X46      726105080812
01000000003401X47           0080812
01000000003401Z01       86668080812
01000000003401Z02       10877080812
01000000003401Z03       29341080812
01000000003401Z04        3286080812
01000000003401Z05        3225080812
01000000003401Z06           0080812
01000000003401Z07           0080812
01000000003401Z08    48699250080812
01000000003401Z09     3354083080812
01000000003401Z10     2568917080812
01000000003401Z11           0080812
01000000003401Z12           0080812
01000000003401Z13      584391080812
01000000003401Z14       40249080812
01000000003401Z15       30827080812
01000000003401Z16           0080812
01000000003401Z62           00808AC
01000000003401Z63     18903600808AC
01000000003401Z68      1488720808AC
01000000003401Z70     1104797080812
01000000003401Z71      206737080812
01000000003401Z72      132841080812
01000000003401Z73       83588080812
01000000003401Z74           00808NR
01000000003401Z77     18903600808AC
01000000003401Z78     4042346080812
01000000003401Z81     84929160808AC
01000000003401Z82      726105080812
01000000003401Z83           00808AC
01000000003401Z84           0080812
01000000003401Z87           00808AC
01000000003401Z88       198410808AC
01000000003401Z89      227454080812
01000000003401Z90           0080812
01000000003401Z91     1919746080812
01000000003401Z92           00808NR
01000000003401Z93       17937080812
01000000003401Z95           0080812
01000000003401Z96           0080812
01000000003401Z97           00808NR
01000000003402X02       80956080812
01000000003402X06      729995080812
01000000003402Z99      277400080812
01000000003402V87      452595080812
01000000003402Z98           0080812
01000000003402Z76       53664080812
01000000003402Z75       87553080812
01000000003402V01           00808NR
01000000003402V02           00808NR
01000000003402V03           00808NR
01000000003402V04           00808NR
01000000003402V05           00808NR
01000000003402V07           00808NR
01000000003402X01      242866080812
01000000003402X05           0080812
01000000003402X08    -32686800808AC
01000000003402X11     1486871080812
01000000003402X12       37317080812
01000000003402X21      5257200808AC
01000000003402X30     12332240808AC
01000000003402X33      7340060808AC
01000000003402X35           0080812
01000000003402X42           0080812
01000000003402X44     24961750808AC
01000000003402X46     1494190080812
01000000003402X47           0080812
01000000003402Z01      141217080812
01000000003402Z02       16781080812
01000000003402Z03       62112080812
01000000003402Z04        4113080812
01000000003402Z05        3275080812
01000000003402Z06           0080812
01000000003402Z07           0080812
01000000003402Z08   116255000080812
01000000003402Z09     3931917080812
01000000003402Z10     3719000080812
01000000003402Z11           0080812
01000000003402Z12           0080812
01000000003402Z13     1395060080812
01000000003402Z14       47183080812
01000000003402Z15       44628080812
01000000003402Z16           0080812
01000000003402Z62           00808AC
01000000003402Z63     39405230808AC
01000000003402Z68      4953160808AC
01000000003402Z70     2496175080812
01000000003402Z71      425259080812
01000000003402Z72      280296080812
01000000003402Z73       83588080812
01000000003402Z74           00808NR
01000000003402Z77     39405230808AC
01000000003402Z78     8096041080812
01000000003402Z81    177858730808AC
01000000003402Z82     1494190080812
01000000003402Z83           00808AC
01000000003402Z84           0080812
01000000003402Z87           00808AC
01000000003402Z88       304040808AC
01000000003402Z89      499218080812
01000000003402Z90           0080812
01000000003402Z91     4057823080812
01000000003402Z92           00808NR
01000000003402Z93       21985080812
01000000003402Z95           0080812
01000000003402Z96           0080812
01000000003402Z97           00808NR
01000000003403X02        2534080812
01000000003403X06        9880080812
01000000003403Z99        9880080812
01000000003403V87           0080812
01000000003403Z98           0080812
01000000003403Z76         348080812
01000000003403Z75           0080812
01000000003403V01           00808NR
01000000003403V02           00808NR
01000000003403V03           00808NR
01000000003403V04           00808NR
01000000003403V05           00808NR
01000000003403V07           00808NR
01000000003403X01           0080812
01000000003403X05           0080812
01000000003403X08      -369390808AC
01000000003403X11       22587080812
01000000003403X12          83080812
01000000003403X21       243380808AC
01000000003403X30       242010808AC
01000000003403X33       128600808AC
01000000003403X35           0080812
01000000003403X42           0080812
01000000003403X44       167610808AC
01000000003403X46        2647080812
01000000003403X47           0080812
01000000003403Z01         348080812
01000000003403Z02          44080812
01000000003403Z03         198080812
01000000003403Z04           7080812
01000000003403Z05          99080812
01000000003403Z06           0080812
01000000003403Z07           0080812
01000000003403Z08     1567250080812
01000000003403Z09       32750080812
01000000003403Z10      282250080812
01000000003403Z11           0080812
01000000003403Z12           0080812
01000000003403Z13       18807080812
01000000003403Z14         393080812
01000000003403Z15        3387080812
01000000003403Z16           0080812
01000000003403Z62           00808AC
01000000003403Z63       341020808AC
01000000003403Z68       226150808AC
01000000003403Z70       16761080812
01000000003403Z71        5088080812
01000000003403Z72        3118080812
01000000003403Z73        1765080812
01000000003403Z74           00808NR
01000000003403Z77       341020808AC
01000000003403Z78      118731080812
01000000003403Z81      2207800808AC
01000000003403Z82        2647080812
01000000003403Z83           00808AC
01000000003403Z84           0080812
01000000003403Z87           00808AC
01000000003403Z88        17230808AC
01000000003403Z89       11341080812
01000000003403Z90           0080812
01000000003403Z91       46910080812
01000000003403Z92           00808NR
01000000003403Z93        1909080812
01000000003403Z95           0080812
01000000003403Z96           0080812
01000000003403Z97           00808NR
01000000003701X02           0080812
01000000003701X06         3000808AC
01000000003701Z99           0080812
01000000003701V87         3000808AC
01000000003701Z98           0080812
01000000003701Z76           0080812
01000000003701Z75        3100080812
01000000003701V01           00808NR
01000000003701V02           00808NR
01000000003701V03           00808NR
01000000003701V04           00808NR
01000000003701V05           00808NR
01000000003701V07           00808NR
01000000003701X01         7500808AC
01000000003701X05        29720808AC
01000000003701X08        21570808AC
01000000003701X11        42160808AC
01000000003701X12         132080812
01000000003701X21       11244080812
01000000003701X30        5636080812
01000000003701X33        4206080812
01000000003701X35           0080812
01000000003701X42           0080812
01000000003701X44           0080812
01000000003701X46           0080812
01000000003701X47          14080812
01000000003701Z01        3100080812
01000000003701Z02          82080812
01000000003701Z03        1986080812
01000000003701Z04           7080812
01000000003701Z05           0080812
01000000003701Z06         113080812
01000000003701Z07          69080812
01000000003701Z08      3513330808AC
01000000003701Z09           00808AC
01000000003701Z10           0080812
01000000003701Z11       11015080812
01000000003701Z12       12128080812
01000000003701Z13        4216080812
01000000003701Z14           0080812
01000000003701Z15           0080812
01000000003701Z16           0080812
01000000003701Z62           0080812
01000000003701Z63        1931080812
01000000003701Z68       11022080812
01000000003701Z70           0080812
01000000003701Z71         487080812
01000000003701Z72         116080812
01000000003701Z73           0080812
01000000003701Z74           00808NR
01000000003701Z77        1931080812
01000000003701Z78         147080812
01000000003701Z81       18972080812
01000000003701Z82          14080812
01000000003701Z83           0080812
01000000003701Z84           0080812
01000000003701Z87           0080812
01000000003701Z88         222080812
01000000003701Z89        1430080812
01000000003701Z90           0080812
01000000003701Z91           00808NR
01000000003701Z92           00808NR
01000000003701Z93         424080812
01000000003701Z95           0080812
01000000003701Z96        1554080812
01000000003701Z97           00808NR
01105105110000X04        4781080811
01105105110000V01           0080811
01105105110000V02           00808NR
01105105110000V03           00808NR
01105105110000V04           00808NR
01105105110000V05           00808NR
01105105110000V07           00808NR
01105105110000X01        1738080811
01105105110000X05          57080811
01105105110000X08       111320808AE
01105105110000X11        3957080811
01105105110000X12         368080811
01105105110000X21        4036080811
01105105110000X30       10458080811
01105105110000X33           0080811
01105105110000X35           0080811
01105105110000X42           0080811
01105105110000X44       14064080811
01105105110000X46           0080811
01105105110000X47           0080811
01105105110000Z01         771080811
01105105110000Z02          12080811
01105105110000Z03         182080811
01105105110000Z04          50080811
01105105110000Z05          54080811
01105105110000Z06           1080811
01105105110000Z07           0080811
01105105110000Z08      247339080811
01105105110000Z09       54807080811
01105105110000Z10       38696080811
01105105110000Z11       34044080811
01105105110000Z12           0080811
01105105110000Z13        2835080811
01105105110000Z14         658080811
01105105110000Z15         464080811
01105105110000Z16           0080811
01105105110000Z62       134680808AE
01105105110000Z63        6610080811
01105105110000Z68        23100808AE
01105105110000Z70       14064080811
01105105110000Z71        17490808AE
01105105110000Z72        1291080811
01105105110000Z73           0080811
01105105110000Z74           00808NR
01105105110000Z77       20078080811
01105105110000Z78       43570080811
01105105110000Z81       922060808AE
01105105110000Z82           0080811
01105105110000Z83           0080811
01105105110000Z84           0080811
01105105110000Z87        1025080811
01105105110000Z88         701080811
01105105110000Z89       10458080811
01105105110000Z90           0080811
01105105110000Z91           00808NR
01105105110000Z92           00808NR
01105105110000Z93         355080811
01105105110000Z95           0080811
01105105110000Z96        8092080811
01105105110000Z97           00808NR
01203700310000X04       12087080811
01203700310000V01           0080811
01203700310000V02           00808NR
01203700310000V03           00808NR
01203700310000V04           00808NR
01203700310000V05           00808NR
01203700310000V07           00808NR
01203700310000X01       10688080811
01203700310000X05           0080811
01203700310000X08      -311960808AC
01203700310000X11       55435080811
01203700310000X12        1335080811
01203700310000X21       32590080811
01203700310000X30      247754080811
01203700310000X33       81247080811
01203700310000X35           0080811
01203700310000X42           0080811
01203700310000X44           0080811
01203700310000X46           0080811
01203700310000X47           0080811
01203700310000Z01        3760080811
01203700310000Z02          40080811
01203700310000Z03        1661080811
01203700310000Z04         428080811
01203700310000Z05         483080811
01203700310000Z06          13080811
01203700310000Z07           0080811
01203700310000Z08     3473209080811
01203700310000Z09      747039080811
01203700310000Z10      399336080811
01203700310000Z11       86548080811
01203700310000Z12           0080811
01203700310000Z13       41679080811
01203700310000Z14        8964080811
01203700310000Z15        4792080811
01203700310000Z16           0080811
01203700310000Z62           0080811
01203700310000Z63      172317080811
01203700310000Z68       317310808AE
01203700310000Z70           0080811
01203700310000Z71       306710808AC
01203700310000Z72           0080811
01203700310000Z73           00808AC
01203700310000Z74           00808NR
01203700310000Z77      172317080811
01203700310000Z78      456841080811
01203700310000Z81      9095020808AE
01203700310000Z82           0080811
01203700310000Z83           0080811
01203700310000Z84           0080811
01203700310000Z87           0080811
01203700310000Z88         859080811
01203700310000Z89      166507080811
