01000000003401X02       81395090912
01000000003401X06      176163090912
01000000003401Z99      176163090912
01000000003401V87           0090912
01000000003401Z98           0090912
01000000003401Z76       34096090912
01000000003401Z75       53906090912
01000000003401V01           00909NR
01000000003401V02           00909NR
01000000003401V03           00909NR
01000000003401V04           00909NR
01000000003401V05           00909NR
01000000003401V07           00909NR
01000000003401X01      127051090912
01000000003401X05      274976090912
01000000003401X08     -8954860909AC
01000000003401X11      695430090912
01000000003401X12       32640090912
01000000003401X21      2817830909AC
01000000003401X30      5332730909AD
01000000003401X33      3241630909AD
01000000003401X35           0090912
01000000003401X42           0090912
01000000003401X44     1050599090912
01000000003401X46      6832210909AC
01000000003401X47           0090912
01000000003401Z01       88002090912
01000000003401Z02       11448090912
01000000003401Z03       28037090912
01000000003401Z04        3486090912
01000000003401Z05        3422090912
01000000003401Z06        2184090912
01000000003401Z07           0090912
01000000003401Z08    46496422090912
01000000003401Z09     5780492090912
01000000003401Z10     5675586090912
01000000003401Z11     27200000909AD
01000000003401Z12           0090912
01000000003401Z13      557957090912
01000000003401Z14       69366090912
01000000003401Z15       68107090912
01000000003401Z16           0090912
01000000003401Z62           0090912
01000000003401Z63     16405560909AC
01000000003401Z68      263860090912
01000000003401Z70     1050599090912
01000000003401Z71      173523090912
01000000003401Z72      111499090912
01000000003401Z73          15090912
01000000003401Z74           00909NR
01000000003401Z77     16405560909AC
01000000003401Z78     3378526090912
01000000003401Z81     75679580909AC
01000000003401Z82      6832210909AC
01000000003401Z83           0090912
01000000003401Z84           0090912
01000000003401Z87           0090912
01000000003401Z88       179230909AC
01000000003401Z89      2091100909AD
01000000003401Z90           0090912
01000000003401Z91     1180523090912
01000000003401Z92           00909NR
01000000003401Z93       17256090912
01000000003401Z95           0090912
01000000003401Z96           0090912
01000000003401Z97           00909NR
01000000003402X02      122020090912
01000000003402X06      753487090912
01000000003402Z99      286325090912
01000000003402V87      467162090912
01000000003402Z98           0090912
01000000003402Z76       53782090912
01000000003402Z75       87746090912
01000000003402V01           00909NR
