01000000003401X02       82075131312
01000000003401X06      125363131312
01000000003401Z99      125363131312
01000000003401V87           0131312
01000000003401Z98           0131312
01000000003401Z76       30325131312
01000000003401Z75       53844131312
01000000003401X01      139748131312
01000000003401X05      213456131312
01000000003401X08     1294714131312
01000000003401X11      895475131312
01000000003401X12       44837131312
01000000003401X21      393606131312
01000000003401X30           0131312
01000000003401X33           0131312
01000000003401X35           0131312
01000000003401X42           0131312
01000000003401X44     1309366131312
01000000003401X46      955067131312
01000000003401X47        3333131312
01000000003401Z01       84169131312
01000000003401Z02       10554131312
01000000003401Z03       35773131312
01000000003401Z04        3826131312
01000000003401Z05        3498131312
01000000003401Z13      780456131312
01000000003401Z14       87838131312
01000000003401Z15       27181131312
01000000003401Z16           0131312
01000000003401Z62           0131312
01000000003401Z63     2266097131312
01000000003401Z68      389145131312
01000000003401Z70     1309366131312
01000000003401Z71      172000131312
01000000003401Z72      138000131312
01000000003401Z73           0131312
01000000003401Z77     2266097131312
01000000003401Z78     5056820131312
01000000003401Z81     9984289131312
01000000003401Z82      958400131312
01000000003401Z83           0131312
01000000003401Z84           0131312
01000000003401Z87           0131312
01000000003401Z88        4461131312
01000000003401Z89           0131312
01000000003401Z91           01313NR
01000000003401Z93        9767131312
01000000003401Z96      984714131312
01000000003402X02           01313NR
01000000003402X06           0131312
01000000003402Z99           01313NR
01000000003402V87           01313NR
01000000003402Z98           01313NR
01000000003402Z76      1337911313NR
01000000003402Z75           01313NR
01000000003402X01      474241131312
01000000003402X05      627892131312
01000000003402X08     27384181313NR
01000000003402X11     1893321131312
01000000003402X12       55891131312
01000000003402X21      404296131312
01000000003402X30      932401131312
01000000003402X33      219743131312
01000000003402X35           01313NR
01000000003402X42           01313NR
01000000003402X44     29514461313NR
01000000003402X46     1963274131312
01000000003402X47           01313NR
01000000003402Z01      133791131312
01000000003402Z02       18568131312
01000000003402Z03       69259131312
01000000003402Z04        4990131312
01000000003402Z05        4121131312
01000000003402Z13     1720307131312
01000000003402Z14      119270131312
01000000003402Z15       53744131312
01000000003402Z16           0131312
01000000003402Z62       61902131312
01000000003402Z63     3830519131312
01000000003402Z68      378156131312
01000000003402Z70     2951446131312
01000000003402Z71      334155131312
01000000003402Z72      304611131312
01000000003402Z73        9006131312
01000000003402Z77     38305191313NR
01000000003402Z78    10514970131312
01000000003402Z81    20596906131312
01000000003402Z82     1963274131312
01000000003402Z83           01313NR
01000000003402Z84           01313NR
01000000003402Z87           01313NR
01000000003402Z88       26140131312
01000000003402Z89      650756131312
01000000003402Z91           01313NR
01000000003402Z93       34803131312
01000000003402Z96     2090646131312
01000000003403X02        3677131312
01000000003403X06       13903131312
01000000003403Z99       13903131312
01000000003403V87           01313NR
01000000003403Z98           01313NR
01000000003403Z76         3371313NR
01000000003403Z75           01313NR
01000000003403X01           01313NR
01000000003403X05           0131312
01000000003403X08       321971313NR
01000000003403X11       27183131312
01000000003403X12         253131312
01000000003403X21        8253131312
01000000003403X30       30753131312
01000000003403X33        6948131312
01000000003403X35           01313NR
01000000003403X42           01313NR
01000000003403X44       393481313NR
01000000003403X46        3062131312
01000000003403X47           01313NR
01000000003403Z01         337131312
01000000003403Z02          45131312
01000000003403Z03         235131312
01000000003403Z04           7131312
01000000003403Z05         104131312
01000000003403Z13       23289131312
01000000003403Z14         375131312
01000000003403Z15        3499131312
01000000003403Z16          20131312
01000000003403Z62        8539131312
01000000003403Z63       29338131312
01000000003403Z68        5755131312
01000000003403Z70       39348131312
01000000003403Z71        3033131312
01000000003403Z72        3715131312
01000000003403Z73         242131312
01000000003403Z77       293381313NR
01000000003403Z78      144746131312
01000000003403Z81      255500131312
01000000003403Z82        3062131312
01000000003403Z83           01313NR
