01000000003401X01       390809797MA
01000000003401X02       637629797AD
01000000003401X05       699549797AD
01000000003401X06       757849797CT
01000000003401X08      550806979771
01000000003401X11      252023979771
01000000003401X12       23716979771
01000000003401X21      305532979771
01000000003401X30      655921979771
01000000003401X33      596471979771
01000000003401X40     2051350979771
01000000003401X41     1729659979771
01000000003401X44      449660979771
01000000003401X46      211644979771
01000000003401Z01       72948979771
01000000003401Z02        6689979771
01000000003401Z03       17966979771
01000000003401Z04        2145979771
01000000003401Z05        2666979771
01000000003401Z06         387979771
01000000003401Z07           5979771
01000000003401Z08    18714800979771
01000000003401Z09     1587300979771
01000000003401Z10     1168000979771
01000000003401Z11     1324000979771
01000000003401Z12      159000979771
01000000003401Z68      302044979771
01000000003401Z69      449660979771
01000000003401Z72      298086979771
01000000003401Z73         684979771
01000000003401Z74       72239979771
01000000003401Z75       357459797MA
01000000003401Z76       372039797MA
01000000003401Z77     2169679979771
01000000003401Z78     3046772979771
01000000003401Z79     20513509797MA
01000000003401Z81     5403766979771
01000000003401Z82      211644979771
01000000003401Z88        3488979771
01000000003401Z89       59450979771
01000000003401Z93        4273979771
01000000003401Z96      252036979771
01000000003401Z99       757849797MA
01000000003402V87      2050089797MA
01000000003402X01      1416119797MC
01000000003402X02       472049797AD
01000000003402X06      3306589797CT
01000000003402X08     1215558979771
01000000003402X11      534958979771
01000000003402X12       30907979771
01000000003402X21      870400979771
01000000003402X30     1658888979771
01000000003402X33     1513576979771
01000000003402X40     4328139979771
01000000003402X41     3595997979771
01000000003402X44      899747979771
01000000003402X46      440725979771
01000000003402Z01      119263979771
01000000003402Z02       15543979771
01000000003402Z03       35659979771
01000000003402Z04        2107979771
01000000003402Z05        1963979771
01000000003402Z06         736979771
01000000003402Z07          11979771
01000000003402Z08    43658700979771
01000000003402Z09     1379700979771
01000000003402Z10     1198700979771
01000000003402Z11     2568500979771
01000000003402Z12      501100979771
01000000003402Z68      862627979771
01000000003402Z69      899747979771
01000000003402Z72      647861979771
01000000003402Z73        1424979771
01000000003402Z75       894479797MA
01000000003402Z76       298169797MA
01000000003402Z77     4584090979771
01000000003402Z78     6342370979771
01000000003402Z79     43281399797MA
01000000003402Z81    11793896979771
01000000003402Z82      440725979771
01000000003402Z88        7773979771
01000000003402Z89      145312979771
01000000003402Z93        6524979771
01000000003402Z96      566273979771
01000000003402Z99      1256509797MA
01000000003403X02        14509797MA
01000000003403X06        5430979771
01000000003403X08       13845979771
01000000003403X11        9678979771
01000000003403X12           6979771
01000000003403X21        8689979771
01000000003403X30        4373979771
01000000003403X33        4373979771
01000000003403X40       94581979771
01000000003403X41       44054979771
01000000003403X46        1217979771
01000000003403Z01         317979771
01000000003403Z02          36979771
01000000003403Z03         153979771
01000000003403Z04          10979771
01000000003403Z05          75979771
01000000003403Z06           1979771
01000000003403Z08      665800979771
01000000003403Z09       27500979771
01000000003403Z10      121400979771
01000000003403Z11        5900979771
01000000003403Z68        8202979771
01000000003403Z72       10627979771
01000000003403Z73           5979771
01000000003403Z76         3179797MA
01000000003403Z77      101809979771
01000000003403Z78       79921979771
01000000003403Z79       945819797MA
01000000003403Z81      152914979771
01000000003403Z82        1217979771
01000000003403Z88         487979771
01000000003403Z93         299979771
01000000003403Z96        3213979771
01000000003403Z99        54309797MA
01000000003701X01         3979797AD
01000000003701X05        27139797AD
01000000003701X08        1386979771
01000000003701X11        33229797AD
01000000003701X12          689797AD
01000000003701X21         195979771
01000000003701X30        6618979771
01000000003701X40        6255979771
01000000003701X41        29739797AD
01000000003701X46         1909797AD
01000000003701X47          619797MC
01000000003701Z01        3367979771
01000000003701Z02         1489797AD
01000000003701Z03        15449797AD
01000000003701Z04          129797AD
01000000003701Z06          109797AD
01000000003701Z07           49797AD
01000000003701Z08      2637789797AD
01000000003701Z09        21609797AD
01000000003701Z11        45999797AD
01000000003701Z12       100009797AD
01000000003701Z67        28449797AD
01000000003701Z68         1449797AD
01000000003701Z72          749797MC
01000000003701Z73         9499797MC
01000000003701Z75        33679797AD
01000000003701Z79        34119797MC
01000000003701Z81       162929797BC
01000000003701Z82         251979771
01000000003701Z88          519797AD
01000000003701Z89        66189797AD
01000000003701Z93         3039797AD
01000000003701Z96         3639797MC
01103703710000X01        7443979771
01103703710000X04        7937979771
01103703710000X08       19727979771
01103703710000X11        9041979771
01103703710000X12        1446979771
01103703710000X21       35583979771
01103703710000X30       66915979771
01103703710000X33        4599979771
01103703710000X41      199848979771
01103703710000Z01        3500979771
01103703710000Z03         548979771
01103703710000Z04          32979771
01103703710000Z05          40979771
01103703710000Z06          20979771
01103703710000Z08      775225979771
01103703710000Z10       29843979771
01103703710000Z11      128409979771
01103703710000Z68       35566979771
01103703710000Z81      302346979771
01103703710000Z88          17979771
01103703710000Z89       62316979771
01103703710000Z91        5244979771
01103703710000Z93        1856979771
01103703710000Z96       24971979771
01105105110000X01         831979771
01105105110000X04        2875979771
01105105110000X05           6979771
01105105110000X08        2206979771
01105105110000X11        2677979771
01105105110000X12         112979771
01105105110000X21         768979771
01105105110000X30       29301979771
01105105110000X33        4670979771
01105105110000Z01         705979771
01105105110000Z02           2979771
01105105110000Z03         187979771
01105105110000Z05          43979771
01105105110000Z06           4979771
01105105110000Z07           2979771
01105105110000Z08      1770079797BC
01105105110000Z10       252139797BC
01105105110000Z11       12088979771
01105105110000Z12       11000979771
01105105110000Z72        2299979771
01105105110000Z73           1979771
01105105110000Z74         705979771
01105105110000Z81       30069979771
01105105110000Z88         768979771
01105105110000Z89       24631979771
01105105110000Z91          94979771
01200800110000X01         485979771
01200800110000X04         485979771
01200800110000X05         266979771
01200800110000X08        1604979771
01200800110000X11        1575979771
01200800110000X12          69979771
01200800110000X21        9920979771
01200800110000X30       12861979771
01200800110000X33       12861979771
01200800110000Z01         175979771
01200800110000Z03          73979771
01200800110000Z04          21979771
01200800110000Z05          36979771
01200800110000Z08       86923979771
01200800110000Z09       32606979771
01200800110000Z10       18782979771
01200800110000Z68        9911979771
01200800110000Z73        1604979771
01200800110000Z81       22781979771
01200800110000Z88           9979771
01200800110000Z93          22979771
01202800310000X01         607979771
01202800310000X04        1578979771
01202800310000X08         332979771
01202800310000X11        2066979771
01202800310000X12          76979771
01202800310000X21         852979771
01202800310000X30        2515979771
01202800310000X40        1949979771
01202800310000X41        1426979771
01202800310000Z01         174979771
01202800310000Z03          82979771
01202800310000Z04          48979771
01202800310000Z05          58979771
01202800310000Z08      103056979771
01202800310000Z09       43644979771
01202800310000Z10       25505979771
01202800310000Z67        1740979771
01202800310000Z68         819979771
01202800310000Z72          19979771
01202800310000Z73         313979771
01202800310000Z79         209979771
01202800310000Z81        6742979771
01202800310000Z88          33979771
01202800310000Z89        2515979771
01202800310000Z93          51979771
01203500410000X01        1960979771
01203500410000X04        1959979771
01203500410000X08        2297979771
01203500410000X11        3393979771
01203500410000X12         307979771
01203500410000X21       31717979771
01203500410000X30        1500979771
01203500410000Z01        1004979771
01203500410000Z03         213979771
01203500410000Z04          23979771
01203500410000Z05           9979771
01203500410000Z06          12979771
01203500410000Z07           1979771
01203500410000Z08      275014979771
01203500410000Z09       12719979771
01203500410000Z10        4012979771
01203500410000Z11        9100979771
01203500410000Z12        1117979771
01203500410000Z73        1658979771
01203500410000Z74        1004979771
01203500410000Z81       33217979771
01203500410000Z87       27774979771
01203500410000Z88        3943979771
01203500410000Z89        1500979771
01203500410000Z93         261979771
01203500410000Z96         639979771
01203700310000X01        7832979771
01203700310000X04        9327979771
01203700310000X08       67007979771
01203700310000X11       21020979771
01203700310000X12        1146979771
01203700310000X21       56287979771
01203700310000X30      110190979771
01203700310000X33       11642979771
01203700310000X40       68753979771
01203700310000X41      210926979771
01203700310000X44       10057979771
01203700310000Z01        3820979771
01203700310000Z02           6979771
01203700310000Z03         923979771
01203700310000Z04         349979771
01203700310000Z05         306979771
01203700310000Z08     1226183979771
01203700310000Z09      420486979771
01203700310000Z10      149877979771
01203700310000Z11      194680979771
01203700310000Z67       18951979771
01203700310000Z68       56287979771
01203700310000Z72        5533979771
01203700310000Z73       16599979771
01203700310000Z74        3820979771
01203700310000Z79       49802979771
01203700310000Z81      456213979771
01203700310000Z83       10057979771
01203700310000Z89       98548979771
01203700310000Z93        1468979771
01203700310000Z96       44875979771
01203700310100X01        1725979771
01203700310100X04        1725979771
01203700310100X05           8979771
01203700310100X08        2011979771
01203700310100X11        5216979771
01203700310100X12         204979771
01203700310100X21        1086979771
01203700310100X30       12909979771
01203700310100X33        4168979771
01203700310100X40       13836979771
01203700310100Z01        1514979771
01203700310100Z03         278979771
01203700310100Z04           8979771
01203700310100Z05          81979771
01203700310100Z08      364736979771
01203700310100Z09        1384979771
01203700310100Z10       32892979771
01203700310100Z11       33555979771
01203700310100Z67        8443979771
01203700310100Z68        1086979771
01203700310100Z73        1835979771
01203700310100Z79        5393979771
01203700310100Z81       27831979771
01203700310100Z89        8741979771
01203700310100Z93         403979771
01203700310100Z96         176979771
01203700310200X01         403979771
01203700310200X04         402979771
01203700310200X08        1160979771
01203700310200X11         333979771
01203700310200X12          57979771
01203700310200X21         459979771
01203700310200X30        7428979771
01203700310200X40       11426979771
01203700310200Z01         171979771
01203700310200Z03          26979771
01203700310200Z08       277599797BC
01203700310200Z67       11426979771
01203700310200Z68         459979771
01203700310200Z73        1160979771
01203700310200Z74         171979771
01203700310200Z81       19313979771
01203700310200Z89        7428979771
01203700310200Z93           9979771
01205100110000X01        4155979771
01205100110000X04        4884979771
01205100110000X08       15726979771
01205100110000X11        7976979771
01205100110000X12         936979771
01205100110000X21        2184979771
01205100110000X30       81219979771
01205100110000X40       30627979771
01205100110000X41       46767979771
01205100110000Z01        2972979771
01205100110000Z02           3979771
01205100110000Z03         806979771
01205100110000Z04          82979771
01205100110000Z05          37979771
01205100110000Z06          13979771
01205100110000Z08      634188979771
01205100110000Z09       38046979771
01205100110000Z10       15312979771
01205100110000Z11       57752979771
01205100110000Z72        1271979771
01205100110000Z73        7290979771
01205100110000Z74        2086979771
01205100110000Z77       31283979771
01205100110000Z78       57601979771
01205100110000Z79       30627979771
01205100110000Z81      160797979771
01205100110000Z88        2184979771
01205100110000Z89       81219979771
01205100110000Z93         342979771
01205100110000Z96        7165979771
01205700210000X01         206979771
01205700210000X04         206979771
01205700210000X08         2159797CT
01205700210000X11         661979771
01205700210000X12         106979771
01205700210000X21        4106979771
01205700210000Z01          95979771
01205700210000Z03          32979771
01205700210000Z08       55146979771
01205700210000Z73         2159797MA
01205700210000Z81        4106979771
01205700210000Z87        4061979771
01205700210000Z88          45979771
01206300210000X01         678979771
01206300210000X04        1260979771
01206300210000X08        4235979771
01206300210000X11        3532979771
01206300210000X12          79979771
01206300210000X21        4568979771
01206300210000X30       17355979771
01206300210000X41       19112979771
01206300210000X44        2174979771
01206300210000Z01         387979771
01206300210000Z03         150979771
01206300210000Z04          11979771
01206300210000Z05          43979771
01206300210000Z08      264989979771
01206300210000Z09       11805979771
01206300210000Z10       28610979771
01206300210000Z68        4200979771
01206300210000Z72        1795979771
01206300210000Z73        2440979771
01206300210000Z81       43209979771
01206300210000Z83        2174979771
01206300210000Z87         365979771
01206300210000Z88           3979771
01206300210000Z89       17355979771
01206300210000Z93         316979771
02000000001605X01       43347979771
02000000001605X02        4816979771
02000000001605X05       55589979771
02000000001605X06        6177979771
02000000001605X08      538098979771
02000000001605X11      157567979771
02000000001605X12        2143979771
02000000001605X21       17348979771
02000000001605X30     1643381979771
02000000001605X33     1244629979771
02000000001605X41      3241639797AD
02000000001605X42        1426979771
02000000001605X44      678032979771
02000000001605X46      101026979771
02000000001605Z01        9259979771
02000000001605Z02        38749797MA
02000000001605Z03        53189797MA
02000000001605Z08    118003339797MA
02000000001605Z68       17348979771
02000000001605Z69      587377979771
02000000001605Z72       92162979771
02000000001605Z73       46171979771
02000000001605Z75        8426979771
02000000001605Z76         833979771
02000000001605Z78       52414979771
02000000001605Z81     2765376979771
02000000001605Z82      101026979771
02000000001605Z83       90655979771
02000000001605Z89      3987529797AD
02000000001605Z91         164979771
02000000001605Z93        8256979771
02000000001605Z96      399929979771
02000000001605Z99        6177979771
02000000001608X01       34930979771
02000000001608X02       52493979771
02000000001608X05       50702979771
02000000001608X06       94187979771
02000000001608X08     1024532979771
02000000001608X11      225821979771
02000000001608X12       13012979771
02000000001608X21      141081979771
02000000001608X30     1019764979771
02000000001608X33      3375029797AD
02000000001608X40     1112057979771
02000000001608X41     19436529797AD
02000000001608X42        1674979771
02000000001608X44     1416699979771
02000000001608Z01       319609797AD
02000000001608Z02        40599797MA
02000000001608Z03       10258979771
02000000001608Z08    15916916979771
02000000001608Z68       254889797AD
02000000001608Z69      8239249797AD
02000000001608Z72      1896619797AD
02000000001608Z73       83796979771
02000000001608Z75       15076979771
02000000001608Z76       16938979771
02000000001608Z77      138387979771
02000000001608Z78     28633679797AD
02000000001608Z79     11120579797MC
02000000001608Z81     5634927979771
02000000001608Z83      5927759797AD
02000000001608Z87      1155939797MC
02000000001608Z89      6822629797MA
02000000001608Z91          429797AD
02000000001608Z93        28309797AD
02000000001608Z95           79797AD
02000000001608Z96      7511179797AD
02000000001608Z99       94187979771
02000000001609X06        1435979771
02000000001609X11          84979771
02000000001609X21          44979771
02000000001609X30       10596979771
02000000001609X33        7348979771
02000000001609X44         521979771
02000000001609Z01        39499797CT
02000000001609Z03         5249797MA
02000000001609Z08      1393989797MA
02000000001609Z68          44979771
02000000001609Z69         490979771
02000000001609Z76        39499797MA
02000000001609Z81       11161979771
02000000001609Z83          31979771
02000000001609Z89        3248979771
02000000001609Z93           7979771
02000000001609Z99        1435979771
02200200110000X08       39564979771
02200200110000X11       11593979771
02200200110000X21       11810979771
02200200110000X30       64268979771
02200200110000X40      142881979771
02200200110000X41      167002979771
02200200110000X42       11430979771
02200200110000X44       40385979771
02200200110000Z01         411979771
02200200110000Z02          13979771
02200200110000Z03         221979771
02200200110000Z04         157979771
02200200110000Z05          37979771
02200200110000Z08      552500979771
02200200110000Z09      471000979771
02200200110000Z10       55500979771
02200200110000Z67        4606979771
02200200110000Z69       40385979771
02200200110000Z72        4424979771
02200200110000Z73        7999979771
02200200110000Z77       38729979771
02200200110000Z78      216991979771
02200200110000Z79      138275979771
02200200110000Z81      437776979771
02200200110000Z88       11810979771
02200200110000Z89       64268979771
02200200110000Z93        1919979771
02200200110000Z96       27141979771
03000000007801X01       376009797AD
03000000007801X02        21889797AD
03000000007801X05       461749797AD
03000000007801X06        6296979771
03000000007801X08      261394979771
03000000007801X11      102404979771
03000000007801X12        2867979771
03000000007801X21       40689979771
03000000007801X30      641283979771
03000000007801X33      342564979771
03000000007801X40      408871979771
03000000007801X41     14238609797MA
03000000007801X47       67737979771
03000000007801Z01       13109979771
03000000007801Z02          30979771
03000000007801Z03        3240979771
03000000007801Z04         573979771
03000000007801Z05         627979771
03000000007801Z08     67417119797AD
03000000007801Z09      9746199797AD
03000000007801Z10      6682089797AD
03000000007801Z68       40689979771
