"Date","Region","Pension assets (millions)","Pension liabilities (millions)","Funding status (millions)","Assets as a percent of liabilities","Funding status as a percent of state GDP","Funding status as a percent of state revenue"
2014,"United States","3790832.634","5233938.000","-1443105.366","72.428","-8.374","-39.714"
2014,"Alabama","35676.341","53607.131","-17930.790","66.551","-9.077","-41.485"
2014,"Alaska","13308.825","25179.503","-11870.678","52.856","-20.443","-69.226"
2014,"Arizona","46972.812","74642.127","-27669.315","62.931","-9.827","-46.313"
2014,"Arkansas","27055.933","31793.642","-4737.709","85.099","-3.913","-16.566"
2014,"California","768069.159","1008600.101","-240530.942","76.152","-10.345","-43.537"
2014,"Colorado","53092.152","84961.870","-31869.718","62.489","-10.437","-55.372"
2014,"Connecticut","38238.457","81880.316","-43641.859","46.700","-17.404","-95.785"
2014,"Delaware","10004.312","10766.140","-761.828","92.924","-1.163","-6.691"
2014,"District of Columbia","9321.983","7127.958","2194.025","130.781","1.883","14.912"
2014,"Florida","186353.711","216479.525","-30125.814","86.084","-3.605","-16.807"
2014,"Georgia","93424.910","137456.343","-44031.433","67.967","-9.331","-50.389"
2014,"Hawaii","14444.206","24148.547","-9704.341","59.814","-12.698","-52.068"
2014,"Idaho","14345.018","16115.923","-1770.905","89.011","-2.795","-12.676"
2014,"Illinois","159010.391","342194.123","-183183.732","46.468","-24.687","-123.397"
2014,"Indiana","31364.955","40660.232","-9295.277","77.139","-2.866","-15.980"
2014,"Iowa","31277.060","35101.776","-3824.716","89.104","-2.240","-10.571"
2014,"Kansas","18316.253","27113.100","-8796.847","67.555","-6.002","-29.744"
2014,"Kentucky","30322.115","65290.167","-34968.052","46.442","-18.549","-84.767"
2014,"Louisiana","46226.249","76616.418","-30390.169","60.335","-12.364","-62.389"
2014,"Maine","12952.242","15902.120","-2949.878","81.450","-5.361","-21.076"
2014,"Maryland","64502.566","92988.502","-28485.936","69.366","-8.133","-41.951"
2014,"Massachusetts","74364.922","143678.250","-69313.328","51.758","-15.191","-78.472"
2014,"Michigan","83589.191","129845.576","-46256.385","64.376","-10.343","-46.507"
2014,"Minnesota","63453.901","83246.426","-19792.525","76.224","-6.178","-29.083"
2014,"Mississippi","27372.240","44018.806","-16646.566","62.183","-15.863","-53.323"
2014,"Missouri","73879.268","101515.227","-27635.959","72.777","-9.756","-47.504"
2014,"Montana","10072.308","14179.706","-4107.398","71.033","-9.195","-36.002"
2014,"Nebraska","15719.051","19340.265","-3621.214","81.276","-3.272","-15.139"
2014,"Nevada","34688.068","49808.132","-15120.064","69.643","-11.279","-55.133"
2014,"New Hampshire","7749.416","12438.247","-4688.831","62.303","-6.665","-37.544"
2014,"New Jersey","81472.578","174661.474","-93188.896","46.646","-17.087","-91.487"
2014,"New Mexico","26087.093","40635.611","-14548.518","64.198","-15.348","-58.045"
2014,"New York","453701.660","519727.944","-66026.284","87.296","-4.765","-18.118"
2014,"North Carolina","87971.978","100133.526","-12161.548","87.855","-2.564","-12.898"
2014,"North Dakota","4812.813","7051.071","-2238.258","68.256","-3.844","-18.206"
2014,"Ohio","183825.345","252706.297","-68880.952","72.743","-11.698","-51.340"
2014,"Oklahoma","30810.801","41169.433","-10358.632","74.839","-5.447","-27.097"
2014,"Oregon","70412.845","79863.697","-9450.852","88.166","-4.648","-18.610"
2014,"Pennsylvania","104373.423","192829.279","-88455.856","54.127","-13.155","-65.502"
2014,"Rhode Island","9287.972","16904.217","-7616.245","54.945","-13.823","-61.025"
2014,"South Carolina","30159.043","53564.534","-23405.491","56.304","-12.341","-49.910"
2014,"South Dakota","11281.947","15809.994","-4528.047","71.360","-9.930","-51.029"
2014,"Tennessee","50131.335","54577.165","-4445.830","91.854","-1.482","-7.759"
2014,"Texas","236970.178","269338.102","-32367.924","87.982","-2.020","-12.484"
2014,"Utah","26749.898","30357.554","-3607.656","88.116","-2.567","-12.790"
2014,"Vermont","4040.693","6942.223","-2901.530","58.205","-9.782","-37.571"
